;;;;;;;;;;;;;x
ABK;Abkhazia;;;;;;;;;;;;;
ABK_ADJ;Abkhazian;;;;;;;;;;;;;
ABK_anarcho_liberal;Radical Faction;;;;;;;;;;;;;
ABK_communist;People's Party of Abkhazia;;;;;;;;;;;;;
ABK_conservative;Conservative Faction;;;;;;;;;;;;;
ABK_fascist;United Abkhazia Party;;;;;;;;;;;;;
ABK_liberal;Reformist Faction;;;;;;;;;;;;;
ABK_reactionary;Bey Loyalists;;;;;;;;;;;;;
ABK_socialist;Socialist Party;;;;;;;;;;;;;
ABU;Trucial States;;;;;;;;;;;;x
ABU;United Arab Emirates;;;;;;;;;;;;;
ABU_absolute_monarchy;Trucial States;;;;;;;;;;;;;
ABU_absolute_monarchy_ADJ;Trucial;;;;;;;;;;;;;
ABU_ADJ;Emirati;;;;;;;;;;;;;
ABU_ADJ;Trucial;;;;;;;;;;;;x
ABU_bourgeois_dictatorship;United Arab Councils;;;;;;;;;;;;;
ABU_bourgeois_dictatorship_ADJ;Arabic;;;;;;;;;;;;;
ABU_fascist_dictatorship;The Emirate;;;;;;;;;;;;;
ABU_fascist_dictatorship_ADJ;Emirati;;;;;;;;;;;;;
ABU_proletarian_dictatorship;People's Arabic Republic;;;;;;;;;;;;;
ABU_proletarian_dictatorship_ADJ;Arabic;;;;;;;;;;;;;
ACR;Acre;;;;;;;;;;;;;
ACR;Acre;;;;;;;;;;;;;x
ACR_ADJ;Acrean;;;;;;;;;;;;;
ACR_ADJ;Acrean;;;;;;;;;;;;;x
ACR_ADJ;Acreano;;;;;;;;;;;;;x
ACR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
ACR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;;x;;;;;;;;;;;;;;
ACR_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
ACR_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;;x;;;;;;;;;;;;;;
ACR_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;
ACR_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;;x;;;;;;;;;;;;;;
ACR_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
ACR_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;;x;;;;;;;;;;;;;;
ACR_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
ACR_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;;x;;;;;;;;;;;;;;
ACR_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;
ACR_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;;x;;;;;;;;;;;;;;
ACR_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
ACR_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR;Africa;;;;;;;;;;;;;x
AFR_absolute_monarchy;African Empire;;;;;;;;;;;;;x
AFR_ADJ;African;;;;;;;;;;;;;x
AFR_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR_conservative;Oba's Faction;Faction Obo;Oba Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR_hms_government;African Empire;;;;;;;;;;;;;x
